"","NAME","PERMIT_NO","ADDRESS","CITY","ZIP_CODE","PHONE","CONTACT","PUMPS","CNG_DEV","CPCODE","CPNAME","ACREAGE","SHAPE_AREA","SHAPE_LEN","latitude","longitude"
"35","CHEVRON CAR WASH / 4S RANCH-OWNER",14414,"16629 DOVE CANYON RD","SAN DIEGO",92127,"858 613-1315",NA,36,0,NA,NA,NA,NA,NA,-117.111437989382,33.0149271865898
"36","CIRCLE K/76 #2702971",13835,"14147 TWIN PEAKS RD","POWY",92064,"281-293-1000",NA,12,0,NA,NA,NA,NA,NA,-117.023733175791,32.9777020505335
"37","COSBY OIL CO., INC.",4843,"6225 FAIRMOUNT AVE","SAN DIEGO",92120,"619-280-6885",NA,27,0,20,"NAVAJO",9087.30876031,395843630.815,113466.64168,-117.100981556668,32.7890550956684
"38","EL CAPITAN OIL COMPANY",13037,"12210 INDUSTRY RD","LAKESIDE",92040,"619-448-5891",NA,16,0,NA,NA,NA,NA,NA,-116.927960582417,32.8607485949542
"39","EXXONMOBIL OIL CORP. #10826",2349,"899 PALOMAR AIRPORT RD","CARLSBAD",92009,"760-438-2141",NA,48,0,NA,NA,NA,NA,NA,-117.319575845076,33.1217090466362
"40","HARRISON TRUCKING, INC.",1728,"8801 OLIVE LN","SANTEE",92071,"619-449-0840",NA,2,0,NA,NA,NA,NA,NA,-116.987204241561,32.8357581418946
"41","HAWTHORNE MACHINERY COMPANY",0,"16945 CAM SAN BERNARDO","SAN DIEGO",92127,"674-7127",NA,2,0,NA,NA,NA,NA,NA,-117.101971938097,33.0138648201967
"42","MOBIL-RANCHO SANTA FE",2534,"6089 LA FLECHA","RANCHO SANTA",92067,"619-756-2929",NA,12,0,NA,NA,NA,NA,NA,-117.202291078524,33.0192499588126
"43","MOHSEN OIL",2264,"3213 MISSION AVE","OCEANSIDE",92054,"760-945-7222",NA,44,0,NA,NA,NA,NA,NA,-117.347599376493,33.2134857760587
"44","O'SIDE GAS",16070,"656 BENET RD, STE A","OCEANSIDE",92054,"760-967-1512",NA,44,0,NA,NA,NA,NA,NA,-117.356992869759,33.2140928554457
"45","PACIFIC PRIDE - VALLEY CENTER OIL CORP",7125,"28010 VALLEY CENTER RD","VALLEY CENTER",92082,"760-749-1281",NA,24,0,NA,NA,NA,NA,NA,-117.033884753908,33.2188426651243
"46","PLAVAN PETROLEUM, INC.",7230,"575 AIRPORT RD","OCEANSIDE",92054,"800-499-4645",NA,12,0,NA,NA,NA,NA,NA,-117.354048464904,33.2160416732912
"47","RAMONA OIL CO, INC",1709,"1000 OLIVE ST","RAMONA",92065,"760-789-0410",NA,8,0,NA,NA,NA,NA,NA,-116.873483828478,33.0471355953923
"48","SHELL",15807,"5261 BALTIMORE DR","LA MESA",91942,"310 467-4600",NA,28,0,NA,NA,NA,NA,NA,-117.026957975425,32.775004075355
"49","SHELL OIL PRODUCTS US #120655",10506,"9205 TWIN TRAILS DR","SAN DIEGO",92129,"602-468-6944",NA,34,0,29,"RANCHO PENASQUITOS",6456.34490358,281238503.825,93268.9199605,-117.128500964371,32.9564920586671
"50","SHELL OIL PRODUCTS US #135924",3965,"1011 A ST","SAN DIEGO",92101,"602-468-6944",NA,36,0,4,"DOWNTOWN",1516.21502084,66053186.5307,55781.5643997,-117.15533893562,32.7186743679115
"51","SHELL-VINTNERS DISTRS., INC",10045,"13538 CAM CANADA","EL CAJON",92021,"510-293-9150",NA,40,0,NA,NA,NA,NA,NA,-116.901881433577,32.8261253503702
"52","STAGE STOP LIQUOR",3522,"578 MAIN ST","RAMONA",92065,"760-789-0993",NA,14,0,NA,NA,NA,NA,NA,-116.861900839488,33.0453440182884
"53","TAVERN RD VALERO",16377,"1140 TAVERN RD","ALPINE",91901,NA,NA,31,0,NA,NA,NA,NA,NA,-116.780757208307,32.8412219564125
"54","TERRY'S HAY & GRAIN",4756,"27350 VALLEY CENTER RD","VALLEY CENTER",92082,"760-749-9328",NA,1,0,NA,NA,NA,NA,NA,-117.034085633734,33.2067579640096
"55","COUNTY OF SAN DIEGO/EAST MESA DETENTION",10359,"446 ALTA RD","SAN DIEGO",92173,NA,NA,2,0,NA,NA,NA,NA,NA,-116.923493277669,32.5910723615029
"56","COUNTY OF SAN DIEGO/SO.BAY REGIONAL CEN",10364,"500 3RD AVE","CHULA VISTA",91910,NA,NA,2,0,NA,NA,NA,NA,NA,-117.077746126274,32.6326574653184
"57","RAINBOW OAKS INC.",14619,"4811 5TH ST","RAINBOW",92028,"760 728-1822",NA,4,0,NA,NA,NA,NA,NA,-117.158535386353,33.4136172663334
"58","4S GASOLINE DEPOT.",15513,"6795 MIRA MESA BLVD","SAN DIEGO",92121,"858-554-0460",NA,36,0,15,"MIRA MESA",10729.0159538,467349981.008,107975.395374,-117.171672363832,32.9071237658552
"59","7 ELEVEN #32825",12515,"5188 BONITA RD","BONITA",91902,NA,NA,24,0,NA,NA,NA,NA,NA,-117.019945223843,32.6718974059662
"60","76  @ SHAWDOW RIDGE",14797,"636 SYCAMORE AVE","VISTA",92081,"760-598-0076",NA,26,0,NA,NA,NA,NA,NA,-117.215946166617,33.1663958049536
"61","76 - APC OIL INC.",15126,"13012 POMERADO RD","POWY",92064,"858-748-7603","TONY THOMAS",24,0,NA,NA,NA,NA,NA,-117.062837816224,32.952143582165
"62","76 # NORTH PARK",15016,"3154 EL CAJON BLVD","SAN DIEGO",92104,"619 283-6251",NA,24,0,28,"GREATER NORTH PARK",2253.69411336,98171624.1502,50884.2009183,-117.126099178506,32.7557485187122
"63","76 #2705723",5271,"880 CARLSBAD VILLAGE DR","CARLSBAD",92008,NA,NA,24,0,NA,NA,NA,NA,NA,-117.345606419449,33.1616941152026
"64","76 @ MAIN ST.",1945,"1090 W MAIN ST","EL CAJON",92020,"619-227-2933",NA,24,1,NA,NA,NA,NA,NA,-116.975129164971,32.7952531483403
"65","76 CONOCO PHILLIPS #256409",13368,"3995 BONITA RD","BONITA",91902,NA,NA,32,0,NA,NA,NA,NA,NA,-117.04150754606,32.6581080823032
"66","76 CONOCOPHILLIPS #255221",15905,"898 BRDWY","CHULA VISTA",91911,NA,NA,40,0,NA,NA,NA,NA,NA,-117.084593269679,32.6173829540619
"67","76 CONOCOPHILLIPS #257131",4891,"11906 CAMPO RD","SPRING VALLEY",91978,"670-7601",NA,34,0,NA,NA,NA,NA,NA,-116.943293969731,32.7402587541689
"68","76 CONOCOPHILLIPS#250834",3361,"2804 GARNET AVE","SAN DIEGO",92109,"274-7600",NA,36,0,27,"PACIFIC BEACH",2609.08329077,113649440.618,60036.3387182,-117.218666021528,32.8064451336487
"69","76 CONOCOPHILLIPS#251927",53,"1076 ROSECRANS ST","SAN DIEGO",92106,"619-224-2578",NA,18,0,30,"PENINSULA",5282.33053107,230118805.311,128220.9802,-117.232187749841,32.721439865964
"70","76 CONOCOPHILLIPS#254247 c/o KAYO OIL C",13372,"2410 FLETCHER PKWY","EL CAJON",92020,"619-460-0076",NA,24,0,NA,NA,NA,NA,NA,-116.997901946929,32.8027742232878
"71","76 CONOCOPHILLIPS#254875",2269,"2003 MISSION AVE","OCEANSIDE",92054,"721-3797","DENNIS 760-471-0150",24,0,NA,NA,NA,NA,NA,-117.361541569292,33.1995610601634
"72","76 CONOCOPHILLIPS#255237 c/o KAYO OIL C",2011,"7807 BALBOA AVE","SAN DIEGO",92111,"858-279-8002",NA,24,0,50,"KEARNY MESA",4422.62522793,192654079.159,85207.8673967,-117.154661966105,32.8213985511953
"73","76 CONOCOPHILLIPS#255295",2415,"5790 BALBOA AVE","SAN DIEGO",92111,"492-9039",NA,42,0,6,"CLAIREMONT MESA",8539.17388935,371970138.828,91823.2606488,-117.178565445357,32.8205693819218
"74","76 CONOCOPHILLIPS#255927",4427,"895 TAMARACK","CARLSBAD",92008,"729-9251",NA,24,0,NA,NA,NA,NA,NA,-117.337143450271,33.1514689397202
"75","76 CONOCOPHILLIPS#256251",2340,"3805 INGRAHAM ST","SAN DIEGO",92109,"858-272-6171",NA,24,0,27,"PACIFIC BEACH",2609.08329077,113649440.618,60036.3387182,-117.237222182474,32.7891788934839
"76","76 CONOCOPHILLIPS#256894",13370,"1495 E H ST","CHULA VISTA",91910,NA,NA,30,0,NA,NA,NA,NA,NA,-117.001316794265,32.644408728597
"77","76 CONOCOPHILLIPS#257033",4060,"3361 MISSION AVE","OCEANSIDE",92054,"433-4647",NA,44,0,NA,NA,NA,NA,NA,-117.341094044873,33.2179376806895
"78","76 CONOCOPHILLIPS#257288",13371,"4181 OCEANSIDE BLVD","OCEANSIDE",92056,NA,NA,36,0,NA,NA,NA,NA,NA,-117.285586058416,33.2066194376195
"79","76 CORONADO",15709,"900 ORANGE AVE","CORONADO",92118,"619-435-0076",NA,24,0,NA,NA,NA,NA,NA,-117.179558616944,32.687271050303
"80","76 INC",16376,"500 N 2ND ST","EL CAJON",92021,NA,NA,24,0,NA,NA,NA,NA,NA,-116.936099199173,32.8004633465709
"81","76 MELROSE ORANGE UNOCAL 76",16072,"1126 13TH ST","IMPERIAL BEAC",91932,"619-424-8255",NA,24,0,NA,NA,NA,NA,NA,-117.106024343091,32.5758952234066
"82","76 PRODUCTS",15557,"3766 CLAIREMONT MESA BLVD","SAN DIEGO",92117,"B 619 518-75",NA,32,0,6,"CLAIREMONT MESA",8539.17388935,371970138.828,91823.2606488,-117.206503921505,32.8280461485486
"83","76 PRODUCTS - LA CIMA OIL CO, INC.",13903,"8289 OTAY MESA RD","SAN DIEGO",92154,"760 798-1102",NA,44,0,26,"OTAY MESA",9316.12916262,405811314.107,105906.774574,-116.964258226259,32.5664965446779
"84","76 PRODUCTS-OCEANSIDE BLVD UNION 76",13722,"1660 OCEANSIDE BLVD","OCEANSIDE",92054,"760-722-1304",NA,28,0,NA,NA,NA,NA,NA,-117.364261889283,33.189298793283
"85","76 UNOCAL CONOCOPHILLIPS#256834",3567,"12860 RANCHO PENASQUITOS BLVD","SAN DIEGO",92129,"566-5980",NA,32,0,29,"RANCHO PENASQUITOS",6456.34490358,281238503.825,93268.9199605,-117.107906223112,32.9507589815697
"86","76, OCEANA #255940",15676,"502 S EL CAM REAL","OCEANSIDE",92056,"B 760 757-74",NA,24,0,NA,NA,NA,NA,NA,-117.331608143378,33.2180798500025
"87","76-ATTISHA OIL",13601,"5194 WARING RD","SAN DIEGO",92120,NA,NA,24,0,20,"NAVAJO",9087.30876031,395843630.815,113466.64168,-117.081438698075,32.79252119248
"88","76-POINT LOMA 76",12910,"1704 ROSECRANS ST","SAN DIEGO",92106,"858 538-9085",NA,32,0,30,"PENINSULA",5282.33053107,230118805.311,128220.9802,-117.225923625525,32.7289109767213
"89","7-ELEVEN #13575/7-ELEVEN, INC",2086,"10049 CAMPO RD","SPRING VALLEY",91977,"579-8711",NA,12,0,NA,NA,NA,NA,NA,-116.978545561065,32.7472129786177
"90","7-ELEVEN #13588 /7-ELEVEN, INC",4474,"1285 PICADOR BLVD","SAN DIEGO",92154,"474-7021",NA,12,0,25,"OTAY MESA-NESTOR",5367.82083453,233822275.552,95210.7085828,-117.053805585547,32.5741803077271
"91","7-ELEVEN #13619/7-ELEVEN, INC",11197,"1702 ESCONDIDO BLVD","ESCONDIDO",92025,NA,NA,36,0,NA,NA,NA,NA,NA,-117.072641182286,33.1046198853039
"92","7-ELEVEN #13624 /7-ELEVEN, INC",2504,"13626 POMERADO RD","POWY",92064,"503-977-7713",NA,12,0,NA,NA,NA,NA,NA,-117.062908421807,32.9617174693562
"93","7-ELEVEN #13625 /7-ELEVEN, INC",2433,"470 N MELROSE","VISTA",92083,"438-8444",NA,12,0,NA,NA,NA,NA,NA,-117.254777764148,33.2044744798159
"94","7-ELEVEN #13643 /7-ELEVEN, INC",5283,"6615 LINDA VISTA RD","SAN DIEGO",92111,"279-0994",NA,12,0,12,"LINDA VISTA",2732.27635866,119018237.81,61745.5248429,-117.174970661324,32.7736787568734
"95","7-ELEVEN #13661 /7-ELEVEN, INC",2087,"9251 CARLTON HILLS BLVD","SANTEE",92071,"579-8711",NA,12,0,NA,NA,NA,NA,NA,-116.997898796298,32.8455090316681
"96","7-ELEVEN #13662 /7-ELEVEN, INC",2088,"8625 LOS COCHES RD","LAKESIDE",92040,"579-8711",NA,12,0,NA,NA,NA,NA,NA,-116.905717485005,32.833301901142
"97","7-ELEVEN #13664 /7-ELEVEN, INC",2090,"4610 AVOCADO BLVD","LA MESA",91941,"579-8711",NA,12,0,NA,NA,NA,NA,NA,-116.961534179012,32.7631235505847
"98","7-ELEVEN #13666 /7-ELEVEN, INC",2089,"11610 RIVERSIDE DR","LAKESIDE",92040,"579-8711",NA,8,0,NA,NA,NA,NA,NA,-116.942608894965,32.8626637719076
"99","7-ELEVEN #15070 /7-ELEVEN, INC",2144,"10777 JAMACHA BLVD","SPRING VALLEY",91978,"464-2711",NA,12,0,NA,NA,NA,NA,NA,-116.961412895045,32.7295753462248
"100","7-ELEVEN #15923 /7-ELEVEN, INC",2435,"1501 N SANTA FE AVE","VISTA",92084,"438-8444",NA,12,0,NA,NA,NA,NA,NA,-117.244769140295,33.2215231587603
"101","7-ELEVEN #16498 /7-ELEVEN, INC",2146,"103 WORTHINGTON ST","SPRING VALLEY",91977,"464-2711",NA,12,0,NA,NA,NA,NA,NA,-117.01834647953,32.6978241843626
"102","7-ELEVEN #19006 /7-ELEVEN, INC",2094,"9111 MISSION GORGE RD","SANTEE",92071,"579-8711",NA,12,0,NA,NA,NA,NA,NA,-117.000364161004,32.8383215542869
"103","7-ELEVEN #19628 /7-ELEVEN, INC",2149,"2101 FERN ST","SAN DIEGO",92104,"464-2711",NA,12,0,8,"GREATER GOLDEN HILL",745.51826715,32475130.7948,29195.1594048,-117.129391638405,32.7277968127661
"104","7-ELEVEN #20174 /7-ELEVEN, INC",2151,"6571 EL CAJON BLVD","SAN DIEGO",92115,"464-2711",NA,12,0,57,"MID-CITY:EASTERN AREA",3115.1057929,135693919.385,61687.0047213,-117.056863601397,32.7668872323724
"105","7-ELEVEN #20211 /7-ELEVEN, INC",2509,"1076 MAIN ST","RAMONA",92065,"268-1070",NA,12,0,NA,NA,NA,NA,NA,-116.869792023206,33.0410031300083
"106","7-ELEVEN #20337 /7-ELEVEN, INC",2158,"2803 GARNET AVE","SAN DIEGO",92109,"273-9857",NA,20,0,27,"PACIFIC BEACH",2609.08329077,113649440.618,60036.3387182,-117.218385117189,32.8059096447537
"107","7-ELEVEN #20508 /7-ELEVEN, INC",2153,"948 GRAND AVE","SPRING VALLEY",91977,"464-2711",NA,12,0,NA,NA,NA,NA,NA,-116.997733088913,32.7146709205564
"108","7-ELEVEN #20551 /7-ELEVEN, INC",2347,"1602 UNIVERSITY AVE","SAN DIEGO",92103,"278-7861",NA,12,0,42,"UPTOWN",2646.93163314,115753599.083,61250.8361473,-117.149249015029,32.7486134499024
"109","7-ELEVEN #21604 /7-ELEVEN, INC",3801,"899 BRDWY","CHULA VISTA",91911,"474-7021",NA,12,0,NA,NA,NA,NA,NA,-117.083819481295,32.6176352009897
"110","7-ELEVEN #21798",12517,"1498 JAMACHA RD","EL CAJON",92020,NA,NA,24,0,NA,NA,NA,NA,NA,-116.9283291632,32.7693630343537
"111","7-ELEVEN #21800 /7-ELEVEN, INC",2439,"631 S MAIN AVE","FALLBROOK",92028,"438-8444",NA,6,0,NA,NA,NA,NA,NA,-117.251755637416,33.3768604498636
"112","7-ELEVEN #22481 /7-ELEVEN, INC",2098,"10205 LAKE JENNINGS PARK RD","LAKESIDE",92040,"579-8711",NA,12,0,NA,NA,NA,NA,NA,-116.900742022596,32.8611248200692
"113","7-ELEVEN #22872 /7-ELEVEN, INC",2348,"1826 ROSECRANS ST","SAN DIEGO",92106,"278-7861",NA,6,0,30,"PENINSULA",5282.33053107,230118805.311,128220.9802,-117.224681403401,32.7303757884345
"114","7-ELEVEN #22894 /7-ELEVEN, INC",2511,"1030 N BRDWY","ESCONDIDO",92026,"268-1070",NA,12,0,NA,NA,NA,NA,NA,-117.086657059914,33.1342310157944
"115","7-ELEVEN #24070 /7-ELEVEN, INC",2518,"1482 HILLTOP DR","CHULA VISTA",91911,"474-7021",NA,8,0,NA,NA,NA,NA,NA,-117.051871257071,32.6004782823911
"116","7-ELEVEN #24085 /7-ELEVEN, INC",2431,"900 N SANTA FE","VISTA",92083,"438-8444",NA,12,0,NA,NA,NA,NA,NA,-117.245380419212,33.2120037507128
"117","7-ELEVEN #24155 /7-ELEVEN, INC",2156,"1702 GATEWY DR","SAN DIEGO",92105,"464-2711",NA,6,0,56,"MID-CITY:CITY HEIGHTS",2935.50927873,127870892.422,53479.7643387,-117.108049636014,32.7233189690716
"118","7-ELEVEN #25165 /7-ELEVEN, INC",3423,"3385 SANDROCK RD","SAN DIEGO",92123,"278-7861",NA,12,0,35,"SERRA MESA",2210.57457253,96335366.3695,57827.3555222,-117.139743015462,32.8047430846378
"119","7-ELEVEN #25629 /7-ELEVEN",3735,"11205 CAM RUIZ","SAN DIEGO",92126,"465-2101",NA,24,0,15,"MIRA MESA",10729.0159538,467349981.008,107975.395374,-117.143558010415,32.9253975318822
"120","7-ELEVEN #25766 /7-ELEVEN, INC",4367,"2211 SAN ELIJO AVE","CARDIFF",92007,"760-436-0895",NA,12,0,NA,NA,NA,NA,NA,-117.281211495869,33.0193197742666
"121","7-ELEVEN #25807 /7-ELEVEN, INC",4472,"1075 ELKELTON","SPRING VALLEY",91977,"464-2711",NA,12,0,NA,NA,NA,NA,NA,-117.017172601954,32.7143965993554
"122","7-ELEVEN #25818 /7-ELEVEN, INC.",1226,"2255 MISSION AVE","OCEANSIDE",92054,"760-721-2054",NA,12,0,NA,NA,NA,NA,NA,-117.359252913339,33.2082004955379
"123","7-ELEVEN #26182 /7-ELEVEN, INC",5101,"14225 POWY RD","SAN DIEGO",92064,"278-7861",NA,12,0,NA,NA,NA,NA,NA,-117.023408993789,32.956613639052
"124","7-ELEVEN #26190 /7-ELEVEN, INC",4592,"1749 S COAST HIGHWY","OCEANSIDE",92054,"438-8444",NA,12,0,NA,NA,NA,NA,NA,-117.362651492518,33.1753528871369
"125","7-ELEVEN #26651 /7-ELEVE, INC",5032,"10195 RIVERFORD RD","LAKESIDE",92040,"579-8711",NA,12,0,NA,NA,NA,NA,NA,-116.946802327894,32.8610879900924
"126","7-ELEVEN #26909 /7-ELEVEN, INC",2514,"4210 BEYER BLVD","SAN YSIDRO",92173,"428-5045",NA,12,0,33,"SAN YSIDRO",1862.29010478,81121357.007,44119.18566,-117.044175870052,32.5586101900651
"127","7-ELEVEN #27623 /7-ELEVEN, INC",5726,"6401 MISSION GORGE RD","SAN DIEGO",92120,"282-3647",NA,12,0,20,"NAVAJO",9087.30876031,395843630.815,113466.64168,-117.09732167666,32.7901508147635
"128","7-ELEVEN #27771 /7-ELEVEN, INC",5912,"1771 ORO VISTA RD","SAN DIEGO",92154,"575-6241",NA,12,0,25,"OTAY MESA-NESTOR",5367.82083453,233822275.552,95210.7085828,-117.078577692687,32.5647018540696
"129","7-ELEVEN #32131/7-ELEVEN, INC",10061,"8261 GOLD COAST DR","SAN DIEGO",92126,"214-841-6704",NA,24,0,15,"MIRA MESA",10729.0159538,467349981.008,107975.395374,-117.14557442987,32.9049913967412
"130","7-ELEVEN #32290/7-ELEVEN, INC",11035,"8395 OTAY MESA RD","SAN DIEGO",92154,"214-841-6704",NA,48,0,26,"OTAY MESA",9316.12916262,405811314.107,105906.774574,-116.962995914639,32.5671318837542
"131","7-ELEVEN #32606/7-ELEVEN, INC",11211,"9609 AERO DR","SAN DIEGO",92123,"858 279 2911",NA,36,0,50,"KEARNY MESA",4422.62522793,192654079.159,85207.8673967,-117.121928069178,32.807889426
"132","7-ELEVEN #33100",12514,"4080 CONVOY ST","SAN DIEGO",92111,NA,NA,36,0,50,"KEARNY MESA",4422.62522793,192654079.159,85207.8673967,-117.155183041938,32.8168325525452
"133","7-ELEVEN #33376",13207,"1610 S MELROSE","VISTA",92081,NA,NA,36,0,NA,NA,NA,NA,NA,-117.265949784632,33.1828003412637
"134","A & L GAS",2058,"1801 S COAST HIGHWY","OCEANSIDE",92054,"760-433-7151",NA,24,0,NA,NA,NA,NA,NA,-117.362172017809,33.1747851694948
"135","A.V. AUTO REPAIR AND GAS",14537,"7611 LINDA VISTA RD","SAN DIEGO",92111,"858 560-9285","VUONG, ANH",24,0,12,"LINDA VISTA",2732.27635866,119018237.81,61745.5248429,-117.15755457229,32.8010726565874
"136","ALLIANCE - N.H. COZENS, INC.",2140,"1913 MAIN ST","JULIAN",92036,"760-765-0774",NA,8,0,NA,NA,NA,NA,NA,-116.600239852934,33.0765887534664
"137","ALTA VIEW UNOCAL #6918 - THURSTON CO. S",3447,"2919 ALTA VIEW DR","SAN DIEGO",92139,"858 832-9085",NA,26,0,44,"SKYLINE-PARADISE HILLS",4584.64108792,199707175.488,74959.3532478,-117.039176473419,32.6762798691303
